My father has asked me to be the fourth corner at the Joy Luck Club.	我 爸 要 我 在 喜福会 的 麻将 台 边 的 一 方 ， 取代 我 已故 的 母亲 。													
"I am to replace my mother, whose seat at the mah jong table has been empty since she died two months ago."	她 已 于 两 个 月 前 去世 。 打 这 以来 ， 这 麻将 台 边 的 座位 就 一直 空缺 着 。													
My father thinks she was killed by her own thoughts.	爸 认为 ， 妈 是 让 她 自己 心中 的 某个 念头 折磨 死 的 。													
It must have been a very bad idea.	这 必 是 一个 坏 念头 。 ”													
The doctor said she died of a cerebral aneurysm.	据 医生 说 ， 她 是 殁 于 脑动脉瘤 。
And her friends at the Joy Luck Club said she died just like a rabbit: quickly and with unfinished business left behind.	她 的 喜福会 里 的 朋友 们 说 ， 她 去 得 很 快 ， 就 像 只 兔子 一样 “嗖 ” 一 下 就 不见了 。													
My mother was supposed to host the next meeting of the Joy Luck Club.	本来 ， 母亲 已 与 她 的 朋友 约定 ， 下 一 轮 的 喜福会 聚会 ， 将 由 她 做东 。													
"Don't show off, I said."""	“ 别 夸耀 了 。 ” 我 说 。													
It's not showoff.	“ 我 没有 夸耀 。 ” 她 说 ， “ 这 两 种 汤 差不多 是 一样 的 。 ”													
"My mother started the San Francisco version of the Joy Luck Club in 1949, two years before I was born."	母亲 在 1949年 我 出 世 前 两 年 ， 就 开始 有 办 个 旧金山 喜福会 的 念头 的 。													
This was the year my mother and father left China with one stiff leather trunk filled only with fancy silk dresses.	就是 这 一 年 ， 我 父母 带 着 一 只 破壳 皮箱 离开 中国 ， 皮箱 里 装满 的 ， 只是 一 箱 漂亮 的 丝绸	衣服 。												
"There was no time to pack anything else, my mother had explained to my father after they boarded the boat."	直到 上 船 之后 ， 她 才 向 父亲 解释 道 ： 实在 来不及 再 往 里面 塞 其他 物品 了 。													
"Still his hands swam frantically between the slippery silks, looking for his cotton shirts and wool pants."	尽管如此 ， 父亲 还 是 徒劳 地 在 一 大 堆 凉飕飕 的 丝绸 间 胡乱 掀动 ， 企图 寻找 他 的 棉布 衬衫 和	羊毛裤	。											
"When they arrived in San Francisco, my father made her hide those shiny clothes."	等 他们 抵达 旧金山 ， 父亲 便 令她 藏起 那些 亮晃晃 的 衣服 。													
"She wore the same brown-checked Chinese dress until the Refugee Welcome Society gave her two hand-me-down dresses, all too large in sizes for American women."	从此 ， 她 就者 穿 着 那件 棕色 格子 的 中装 ， 直到 难民 收容 团体 送给 她 两 件 旧衣服 。 然而 这些	衣服 都	是	美国	人	的	尺	寸 ， 穿在	她	身	上	晃	荡	晃荡 的 。
The society was composed of a group of white-haired American missionary ladies from the First Chinese Baptist Church.	这个 难民 收容 团体 是 由 该地 第一 中国 浸礼 会 的 一 群 白头发 美籍 太太们 发起 的 。													
"And because of their gifts, my parents could not refuse their invitation to join the church."	由于 接受 了 她们 的 施舍 ， 我 父母 就 只能 听从 她们 的 劝导 开始 上教堂 了 。													
"Nor could they ignore the old ladies' practical advice to improve their English through Bible study class on Wednesday nights and, later, through choir practice on Saturday mornings."	当然 ， 她们 的 劝导 十分 实惠 中肯 ， 但 其中 一个 很 大 的 因素 就是 ； 每周三 晚上 的 读经 班 及 周	六 早 上	的	合唱	练	习	，	都 可以	帮助	他	们	提	高	英语 程度 。
"This was how my parents met the Hsus, the Jongs, and the St. Clairs."	就 是 这样 ， 我 父母 得以 认识 许 家 、 龚 家及 圣克莱尔 家 。													
